Number Name,,2018 mm/dd,Pts Phase,,LPAB BPAB,,Period(h),P.E.,Amp,A.E.
433 Eros,,08/18-08/21,"525 40.2,40.3",,26 13,,5.270,0.005,0.11,0.01
719 Albert,,08/08-08/12,"151 44.3,46.0",,276 20,,5.800,0.002,1.08,0.02
1865 Cerberus,,09/08-09/10,"211 21.9,20.6",,3 18,,6.800,0.002,1.56,0.02
3552 Don Quixote,,08/18-08/21,"219 34.8,34.2",,35 18,,6.665,0.005,0.58,0.02
4183 Cuno,,08/09-08/18,"223 5.1,2.0",,326 4,,3.58,0.01,0.09,0.02
6456 Golombek,,07/24-08/03,"152 30.1,24.7",,328 0,,2.5014,0.0002,0.14,0.01
9856 1991 EE,,09/12-09/15,"124 44.7,41.7",,32 -7,,3.048,0.002,0.19,0.01
13553 Masaakikoyama,,08/19-08/26,"2098 23.0,18.2",,337 13,,58,3,0.75,0.10
16834 1997 WU22,,09/15-09/18,"189 27.4,26.0",,27 21,,9.349,0.004,0.63,0.03
17274 2000 LC16,,08/30-09/05,"665 24.0,25.3",,323 8,,16.50,0.02,0.23,0.02
18109 2000 NG11,,08/23-08/25,"200 10.8,9.7",,339 -2,,4.253,0.005,0.78,0.02
86324 1999 WA2,,08/18-08/28,"279 44.4,51.0",,287 20,,7.161,0.003,0.18,0.02
86878 2000 HD24,,08/11-08/21,"277 68.9,89.1",,16 27,,15.72,0.02,0.28,0.05
115052 2003 RD6,,09/03-09/08,"413 36.4,31.1",,360 26,,12.08,0.04,0.11,0.02
141527 2002 FG7,,08/09-08/10,"163 54.8,56.4",,353 18,,6.31,0.02,0.97,0.05
283729 2002 UX,,07/31-08/06,"110 40.1,43.3",,286 28,,5.937,0.005,0.23,0.02
333889 1998 SV4,,09/05-09/08,"169 35.6,32.3",,15 -2,,2.817,0.002,0.27,0.03
337248 2000 RH60,,09/12-09/15,"288 10.5,8.9",,351 7,,25.2,0.1,0.35,0.04
418929 2009 DM1,,08/27-09/02,"204 19.2,3.5,18.4",,343 15,,4.590,0.005,0.17,0.03
438429 2006 WN1,,08/30-09/02,"208 32.3,32.1",,323 16,,3.407,0.002,0.18,0.02
"",,16,,,,,,,,
441987 2010 NY65,,07/01-07/03,"511 56.6,51.9",,259 21,,5.593,0.007,0.18,0.03
"",,17,,,,,,,,
441987 2010 NY65,,06/27-06/29,"593 71.2,58.3",,257 29,,5.518,0.004,0.16,0.02
441987 2010 NY65,,07/02-07/06,"292 48.2,43.3",,268 22,,5.541,0.003,0.24,0.03
457260 2008 RY24,,09/04-09/05,"214 30.0,29.9",,10 8,,8.19,0.02,0.09,0.02
481394 2006 SF6,,09/09-09/13,"246 23.5,22.8",,348 17,,11.517,0.006,0.97,0.04
1999 RB32,,08/09-08/17,"170 22.9,26.5",,337 -1,,42.7,0.2,0.27,0.03
1999 VQ11,,09/10-09/24,"152 60.6,61.5",,47 -3,,32.21,0.02,0.79,0.10
2001 QA143,,09/11-09/14,"135 22.8,22.9",,2 13,,11.78,0.03,0.25,0.03
2005 RB,,09/03-09/05,"415 16.2,13.7",,345 10,,8.270,0.004,0.57,0.03
2007 RX19,,09/09-09/11,"237 6.4,4.4",,353 1,,8.64,0.01,0.68,0.04
2011 UA,,08/27-09/02,"375 43.2,35.9",,179 -6,,0.316391,0.000007,0.13,0.03
2011 GA62,,06/22-07/01,"419 30.6,34.5",,293 11,,2.6511,0.0004,0.15,0.02
2012 OD1,,07/24-08/03,"274 75.5,60.9",,340 29,,12.63,0.02,0.63,0.05
2013 EP41,,08/30-09/11,"300 16.2,2.8,3.1",,348 3,,12.28,0.02,0.14,0.02
2015 AX16,,09/03-09/08,"266 46.4,48.5",,22 1,,5.658,0.004,0.19,0.03
2015 RJ83,,08/30-09/01,"162 12.8,10.9",,344 5,,9.48,0.01,0.76,0.04
2015 FP118,,09/06-09/08,"1304 70.6,59.0",,6 27,,3.0917,0.0006,0.13,0.01
2016 NF23,,08/22-08/24,"572 16.4,5.7",,336 0,,17.1,0.2,0.39,0.05
2018 NB,,07/24-07/29,"396 43.9,52.2",,330 0,,50.2,0.2,0.39,0.04
2018 QU1,,09/09-09/10,"721 44.9,57.4",,355 26,,7.43,0.02,0.28,0.04
2018 QV1,,09/11-09/14,"397 10.4,13.4",,342 4,,67.9,0.5,0.85,0.10
2018 LQ2,,09/03-09/04,"208 30.2,28.6",,338 15,,0.47185,0.00005,0.42,0.03
2018 RQ2,,09/12-09/14,"1470 47.2,56.7",,15 9,,8.58,0.03,0.13,0.03
2018 KE3,,08/11-08/14,"124 8.9,7.8",,326 0,,4.158,0.003,0.19,0.01
"",,,,,,,P,,,
2018 KE3,,09/03-09/07,"326 14.3,16.1",,341 11,,4.168,0.001,0.14,0.02
2018 KE3,,,,,,,47.08,0.14,0.23,0.02
2018 GA5,,08/08-08/17,"276 61.5,54.7",,81 -10,,4.92,0.02,0.21,0.04
2018 MM8,,12/31-12/31,"180 30.2,0.0,28.6",,0 0,,5.048,0.004,0.27,0.03
2018 PJ10,,08/15-08/15,"137 27.1,27.1",,338 4,,1.75,0.01,0.27,0.04
